Time (s),MLR (g/m2/s),T Back (K),T Top (K)
4.07E+02,2.13E-03,581.08785,625.17725
4.08E+02,2.13E-03,581.32002,625.25152
4.09E+02,2.14E-03,581.55133,625.32525
4.10E+02,2.14E-03,581.78176,625.39845
4.11E+02,2.15E-03,582.01103,625.47111
4.12E+02,2.15E-03,582.23907,625.54321
4.13E+02,2.16E-03,582.46619,625.61479
4.14E+02,2.16E-03,582.6925,625.68594
4.15E+02,2.17E-03,582.91776,625.7567
4.16E+02,2.17E-03,583.14179,625.82687
4.17E+02,2.18E-03,583.3648,625.89651
4.18E+02,2.18E-03,583.58698,625.96571
4.19E+02,2.19E-03,583.80823,626.03438
4.20E+02,2.19E-03,584.02835,626.10251
4.21E+02,2.19E-03,584.24727,626.1701
4.22E+02,2.20E-03,584.46531,626.23722
4.23E+02,2.20E-03,584.68254,626.30385
4.24E+02,2.21E-03,584.89876,626.37
4.25E+02,2.21E-03,585.11382,626.43567
4.26E+02,2.22E-03,585.32784,626.50084
4.27E+02,2.22E-03,585.54102,626.56574
4.28E+02,2.22E-03,585.75337,626.63024
4.29E+02,2.23E-03,585.96466,626.69424
4.30E+02,2.23E-03,586.17477,626.75778
4.31E+02,2.24E-03,586.38396,626.82087
4.32E+02,2.24E-03,586.59235,626.88348
4.33E+02,2.25E-03,586.79986,626.94557
4.34E+02,2.25E-03,587.00633,627.00713
4.35E+02,2.25E-03,587.21167,627.06823
4.36E+02,2.26E-03,587.41614,627.1289
4.37E+02,2.26E-03,587.61986,627.18915
4.38E+02,2.26E-03,587.82268,627.24912
4.39E+02,2.27E-03,588.02449,627.30876
4.40E+02,2.27E-03,588.22523,627.36799
4.41E+02,2.28E-03,588.42513,627.42696
4.42E+02,2.28E-03,588.62428,627.48539
4.43E+02,2.28E-03,588.82256,627.54332
4.44E+02,2.29E-03,589.01985,627.60078
4.45E+02,2.29E-03,589.21607,627.6578
4.46E+02,2.29E-03,589.4115,627.71445
4.47E+02,2.30E-03,589.60619,627.77074
4.48E+02,2.30E-03,589.80007,627.82663
4.49E+02,2.30E-03,589.993,627.88217
4.50E+02,2.31E-03,590.18491,627.9374
4.51E+02,2.31E-03,590.37601,627.99222
4.52E+02,2.31E-03,590.56638,628.04664
4.53E+02,2.31E-03,590.756,628.10064
4.54E+02,2.32E-03,590.94472,628.15426
4.55E+02,2.32E-03,591.13243,628.20753
4.56E+02,2.32E-03,591.31931,628.26061
4.57E+02,2.33E-03,591.50546,628.31329
4.58E+02,2.33E-03,591.69095,628.3656
4.59E+02,2.33E-03,591.87559,628.41752
4.60E+02,2.33E-03,592.05932,628.46906
4.61E+02,2.34E-03,592.24214,628.52024
4.62E+02,2.34E-03,592.42425,628.57115
4.63E+02,2.34E-03,592.60571,628.62171
4.64E+02,2.34E-03,592.78642,628.6719
4.65E+02,2.35E-03,592.96628,628.72174
4.66E+02,2.35E-03,593.1452,628.77122
4.67E+02,2.35E-03,593.32338,628.82038
4.68E+02,2.35E-03,593.50088,628.86923
4.69E+02,2.35E-03,593.67777,628.91775
4.70E+02,2.36E-03,593.85387,628.96595
4.71E+02,2.36E-03,594.02915,629.01382
4.72E+02,2.36E-03,594.20355,629.06141
4.73E+02,2.36E-03,594.37729,629.10887
4.74E+02,2.36E-03,594.55039,629.15593
4.75E+02,2.37E-03,594.72288,629.20271
4.76E+02,2.37E-03,594.89458,629.24921
4.77E+02,2.37E-03,595.06544,629.29538
4.78E+02,2.37E-03,595.23552,629.34121
4.79E+02,2.37E-03,595.40496,629.38679
4.80E+02,2.37E-03,595.57381,629.43208
4.81E+02,2.38E-03,595.74205,629.47705
4.82E+02,2.38E-03,595.90952,629.52168
4.83E+02,2.38E-03,596.07621,629.56603
4.84E+02,2.38E-03,596.24215,629.6101
4.85E+02,2.38E-03,596.40748,629.6539
4.86E+02,2.38E-03,596.57224,629.69743
4.87E+02,2.38E-03,596.73641,629.74068
4.88E+02,2.38E-03,596.89984,629.78365
4.89E+02,2.38E-03,597.0625,629.82638
4.90E+02,2.39E-03,597.22443,629.86892
4.91E+02,2.39E-03,597.38578,629.91129
4.92E+02,2.39E-03,597.54657,629.95353
4.93E+02,2.39E-03,597.70683,629.99544
4.94E+02,2.39E-03,597.86637,630.03709
4.95E+02,2.39E-03,598.02522,630.07846
4.96E+02,2.39E-03,598.18332,630.11956
4.97E+02,2.39E-03,598.34086,630.16038
4.98E+02,2.39E-03,598.49783,630.2009
4.99E+02,2.39E-03,598.65432,630.24114
5.00E+02,2.39E-03,598.81014,630.28115
5.01E+02,2.39E-03,598.96528,630.32091
5.02E+02,2.39E-03,599.11969,630.3604
5.03E+02,2.39E-03,599.27351,630.39973
5.04E+02,2.39E-03,599.42679,630.43894
5.05E+02,2.39E-03,599.57958,630.47797
5.06E+02,2.40E-03,599.73183,630.51686
5.07E+02,2.40E-03,599.88341,630.55549
5.08E+02,2.40E-03,600.03433,630.59385
5.09E+02,2.40E-03,600.18459,630.63196
5.10E+02,2.40E-03,600.33432,630.66982
5.11E+02,2.40E-03,600.48354,630.70745
5.12E+02,2.40E-03,600.63232,630.74487
5.13E+02,2.40E-03,600.78047,630.78225
5.14E+02,2.40E-03,600.928,630.81938
5.15E+02,2.40E-03,601.07486,630.85629
5.16E+02,2.39E-03,601.22111,630.89301
5.17E+02,2.39E-03,601.36688,630.92953
5.18E+02,2.39E-03,601.51216,630.96591
5.19E+02,2.39E-03,601.65702,631.00207
5.20E+02,2.39E-03,601.80125,631.038
5.21E+02,2.39E-03,601.94487,631.07374
5.22E+02,2.39E-03,602.08786,631.10927
5.23E+02,2.39E-03,602.23028,631.14469
5.24E+02,2.39E-03,602.37224,631.17996
5.25E+02,2.39E-03,602.51372,631.215
5.26E+02,2.39E-03,602.6548,631.24984
5.27E+02,2.39E-03,602.79526,631.28452
5.28E+02,2.39E-03,602.93513,631.31904
5.29E+02,2.39E-03,603.07437,631.35337
5.30E+02,2.39E-03,603.21305,631.38753
5.31E+02,2.39E-03,603.35129,631.42151
5.32E+02,2.39E-03,603.48906,631.45534
5.33E+02,2.39E-03,603.62646,631.48904
5.34E+02,2.38E-03,603.76329,631.52257
5.35E+02,2.38E-03,603.89954,631.55592
5.36E+02,2.38E-03,604.0352,631.58913
5.37E+02,2.38E-03,604.17029,631.62227
5.38E+02,2.38E-03,604.30492,631.65528
5.39E+02,2.38E-03,604.43911,631.68808
5.40E+02,2.38E-03,604.57292,631.72071
5.41E+02,2.38E-03,604.70625,631.75318
5.42E+02,2.38E-03,604.83899,631.78554
5.43E+02,2.38E-03,604.97118,631.81784
5.44E+02,2.37E-03,605.10276,631.84994
5.45E+02,2.37E-03,605.23387,631.88188
5.46E+02,2.37E-03,605.36456,631.91366
5.47E+02,2.37E-03,605.49481,631.94528
5.48E+02,2.37E-03,605.62472,631.97677
5.49E+02,2.37E-03,605.75408,632.00818
5.50E+02,2.37E-03,605.88287,632.03945
5.51E+02,2.37E-03,606.01113,632.07056
