wavenumber (cm-1),reflectivity (-)
2420.348389,0.2912873
2422.276953,0.29087481
2424.205518,0.28908229
2426.134082,0.28731227
2428.062646,0.28667516
2429.991211,0.28655905
2431.919775,0.28605449
2433.84834,0.28462347
2435.776904,0.28194094
2437.705469,0.27923006
2439.634033,0.27840394
2441.562598,0.27941024
2443.491162,0.28059489
2445.419727,0.28070804
2447.348291,0.27873617
2449.276855,0.27440804
2451.20542,0.27093029
2453.133984,0.27049178
2455.062549,0.27046189
2456.991113,0.26966581
2458.919678,0.26968932
2460.848242,0.27092436
2462.776807,0.2719138
2464.705371,0.27143425
2466.633936,0.27042201
2468.5625,0.26992428
2470.491064,0.26979423
2472.419629,0.26888886
2474.348193,0.26601574
2476.276758,0.26219681
2478.205322,0.25975958
2480.133887,0.25946867
2482.062451,0.25993249
2483.991016,0.26012075
2485.91958,0.25997433
2487.848145,0.25903076
2489.776709,0.25784838
2491.705273,0.25721982
2493.633838,0.2558293
2495.562402,0.25328505
2497.490967,0.25156102
2499.419531,0.25070471
2501.348096,0.24963535
2503.27666,0.24928533
2505.205225,0.24936152
2507.133789,0.2485358
2509.062354,0.24770227
2510.990918,0.24708535
2512.919482,0.24547099
2514.848047,0.24354069
2516.776611,0.24279879
2518.705176,0.24321155
2520.63374,0.24314108
2522.562305,0.24137618
2524.490869,0.23961644
2526.419434,0.2396744
2528.347998,0.24002142
2530.276563,0.23910253
2532.205127,0.23877494
2534.133691,0.24063639
2536.062256,0.2423372
2537.99082,0.24179909
2539.919385,0.24038789
2541.847949,0.23909768
2543.776514,0.2374825
2545.705078,0.23610596
2547.633643,0.23566848
2549.562207,0.23562211
2551.490771,0.23549077
2553.419336,0.23603953
2555.3479,0.23816702
2557.276465,0.24047679
2559.205029,0.23995806
2561.133594,0.23610727
2563.062158,0.2319462
2564.990723,0.2302072
2566.919287,0.23081902
2568.847852,0.2320583
2570.776416,0.23245244
2572.70498,0.23264398
2574.633545,0.23424542
2576.562109,0.23656067
2578.490674,0.23728718
2580.419238,0.23544152
2582.347803,0.23263614
2584.276367,0.23122618
2586.204932,0.23131382
2588.133496,0.2314747
2590.062061,0.23117879
2591.990625,0.23027962
2593.919189,0.22903608
2595.847754,0.22928268
2597.776318,0.23094536
2599.704883,0.23143148
2601.633447,0.23020345
2603.562012,0.22855543
2605.490576,0.22739062
2607.419141,0.22614066
2609.347705,0.22452427
2611.27627,0.2241606
2613.204834,0.22464511
2615.133398,0.2245014
2617.061963,0.22454232
2618.990527,0.22461215
2620.919092,0.22340567
2622.847656,0.2216641
2624.776221,0.22052558
2626.704785,0.21972263
2628.63335,0.21924391
2630.561914,0.21891062
2632.490479,0.2179016
2634.419043,0.21698111
2636.347607,0.21664234
2638.276172,0.21589874
2640.204736,0.21602094
2642.133301,0.21779495
2644.061865,0.21846917
2645.99043,0.2168777
2647.918994,0.21421696
2649.847559,0.21201767
2651.776123,0.21178415
2653.704688,0.2124467
2655.633252,0.21245888
2657.561816,0.2122497
2659.490381,0.21191658
2661.418945,0.21148206
2663.34751,0.21124063
2665.276074,0.21140997
2667.204639,0.21204616
2669.133203,0.21165729
2671.061768,0.21000892
2672.990332,0.20920837
2674.918896,0.20888621
2676.847461,0.20701385
2678.776025,0.20426744
2680.70459,0.20271844
2682.633154,0.20192234
2684.561719,0.20054746
2686.490283,0.2004267
2688.418848,0.20203128
2690.347412,0.20235817
2692.275977,0.20178173
2694.204541,0.20217571
2696.133105,0.20187241
2698.06167,0.20005551
2699.990234,0.19833194
2701.918799,0.19660585
2703.847363,0.19410767
2705.775928,0.19183967
2707.704492,0.19068232
2709.633057,0.19096701
2711.561621,0.19311233
2713.490186,0.1964208
2715.41875,0.19867302
2717.347314,0.19741295
2719.275879,0.19320448
2721.204443,0.1889469
2723.133008,0.18631777
2725.061572,0.18652338
2726.990137,0.18892866
2728.918701,0.1904209
2730.847266,0.19072407
2732.77583,0.19201103
