Time,Mass,Temperature
[s],[g],[K]
455,148.293374,661.6648946
456,148.212298,667.1119966
457,148.108058,672.0088118
458,148.009224,674.6256175
459,147.901896,663.6816143
460,147.81001,663.8538013
461,147.735112,670.5662251
462,147.628556,668.5875142
463,147.556746,667.8985364
464,147.401545,677.6646443
465,147.322014,675.7182096
466,147.260242,670.6282439
467,147.130522,670.3101132
468,147.050219,663.5828947
469,146.952156,660.0822635
470,146.864904,661.2872956
471,146.756803,667.6183622
472,146.640981,663.1972066
473,146.551412,655.1966824
474,146.452577,641.7332858
475,146.38154,649.7532776
476,146.271895,654.3500909
477,146.171516,657.9387218
478,146.09353,665.0718008
479,146.016315,668.1626404
480,145.856481,668.2074237
481,145.783899,664.1074942
482,145.698191,664.9018941
483,145.594723,660.5872161
484,145.473496,663.800997
485,145.356902,662.8092339
486,145.234903,660.4253997
487,145.2156,660.4035948
488,145.11136,665.0201397
489,144.973146,668.4324911
490,144.839564,661.4605996
491,144.787059,662.6049214
492,144.677414,655.2976346
493,144.548465,647.2009398
494,144.463529,658.3931056
495,144.379365,658.6707922
496,144.227253,648.3199641
497,144.082089,660.0478356
498,144.04657,650.2796289
499,143.963179,644.7430842
500,143.811838,656.1052793
501,143.68675,658.1831233
502,143.594093,671.0876518
503,143.475182,665.12461
504,143.390246,656.013499
505,143.318437,653.4083495
506,143.220374,650.3782504
507,143.07135,651.819813
508,142.940085,645.3815788
509,142.889123,646.2230168
510,142.817314,637.6586453
511,142.654391,630.8459084
512,142.570227,642.9790721
513,142.456722,660.9498757
514,142.31928,661.4766676
515,142.212724,655.5901707
516,142.174116,646.8627285
517,142.042852,644.8714685
518,141.893055,639.2500822
519,141.762563,641.1671618
520,141.683804,642.4553005
521,141.576475,634.0857635
522,141.453704,633.2943373
523,141.361819,641.3677091
524,141.2653,642.0919961
525,141.104694,638.0309948
526,140.990417,637.9141332
527,140.930961,637.7663392
528,140.832127,638.5385525
529,140.690824,627.7888641
530,140.550293,632.8694375
531,140.429838,645.3437497
532,140.310156,636.5359313
533,140.206688,641.4490748
534,140.144145,641.5613833
535,140.029095,647.9702589
536,139.878526,642.3601757
537,139.721781,639.2008124
538,139.6353,642.7349484
539,139.551136,636.7008956
540,139.426821,626.3144044
541,139.276252,634.6160796
542,139.201354,639.9708169
543,139.022216,638.6416704
544,138.908711,634.5840081
545,138.863926,644.0186534
546,138.727256,641.4192788
547,138.575916,643.5361034
548,138.443879,644.9012721
549,138.374386,650.0881218
550,138.290994,642.2535909
551,138.121894,630.1176502
552,138.029236,624.0057356
553,137.927313,627.8186297
554,137.745087,643.5991434
555,137.61691,640.2137442
556,137.566721,642.644406
557,137.423102,633.781099
558,137.29647,625.2521614
559,137.129686,628.8639023
560,137.040889,633.5108009
561,136.901903,630.063834
562,136.762917,631.2295194
563,136.715816,634.6470059
564,136.593817,631.5387065
565,136.397692,631.9486766
566,136.291908,633.0045793
