time,Temp,TGA
[s],[K],[mg]
1143.5,696,0.0727
1144.9,696.5,0.0704
1146.3,697,0.0675
1147.7,697.5,0.0658
1149.2,698,0.0642
1150.6,698.5,0.0625
1152,699,0.0611
1153.5,699.5,0.0598
1154.9,700,0.0581
1156.3,700.5,0.0565
1157.7,701,0.0548
1159.2,701.5,0.0537
1160.6,702,0.0533
1162,702.5,0.0518
1163.5,703,0.0517
1164.9,703.5,0.0503
1166.3,704,0.0486
1167.8,704.5,0.0484
1169.2,705,0.0471
1170.6,705.5,0.0461
1172.1,706,0.0458
1173.5,706.5,0.0445
1174.9,707,0.0432
1176.4,707.5,0.0426
1177.8,708,0.0418
1179.2,708.5,0.0415
1180.7,709,0.0409
1182.1,709.5,0.0418
1183.6,710,0.0419
1185,710.5,0.0405
1186.4,711,0.0397
1187.9,711.5,0.0385
1189.3,712,0.0382
1190.7,712.5,0.0376
1192.2,713,0.0368
1193.6,713.5,0.0369
1195.1,714,0.0356
1196.5,714.5,0.0355
1198,715,0.0355
1199.4,715.5,0.0355
1200.8,716,0.0355
1202.3,716.5,0.0355
1203.7,717,0.0355
1205.2,717.5,0.0342
1206.6,718,0.0339
1208,718.5,0.0339
1209.5,719,0.0339
1210.9,719.5,0.0339
1212.4,720,0.0339
1213.8,720.5,0.0339
1215.3,721,0.0339
1216.7,721.5,0.0339
1218.1,722,0.0339
1219.6,722.5,0.0339
1221,723,0.0332
1222.5,723.5,0.0326
1223.9,724,0.0326
1225.4,724.5,0.0335
1226.8,725,0.0339
1228.3,725.5,0.0346
1229.7,726,0.0352
1231.2,726.5,0.0352
1232.6,727,0.0352
1234.1,727.5,0.0353
1235.5,728,0.0339
1237,728.5,0.0335
1238.4,729,0.0336
1239.9,729.5,0.0335
1241.3,730,0.0327
1242.8,730.5,0.0326
1244.2,731,0.0326
1245.7,731.5,0.0326
1247.1,732,0.0326
1248.6,732.5,0.0326
1250,733,0.0333
1251.5,733.5,0.0332
1252.9,734,0.0332
1254.4,734.5,0.0332
1255.8,735,0.0332
1257.3,735.5,0.0332
1258.7,736,0.0332
1260.2,736.5,0.0332
1261.6,737,0.0332
1263.1,737.5,0.0332
1264.5,738,0.0332
1266,738.5,0.0332
1267.4,739,0.0332
1268.9,739.5,0.0332
1270.3,740,0.0332
1271.8,740.5,0.0332
1273.3,741,0.0332
1274.7,741.5,0.0324
1276.2,742,0.0319
1277.6,742.5,0.0319
1279.1,743,0.0319
1280.5,743.5,0.0319
1282,744,0.0319
1283.4,744.5,0.0319
1284.9,745,0.0319
1286.4,745.5,0.0319
1287.8,746,0.033
1289.3,746.5,0.0332
1290.8,747,0.0332
1292.2,747.5,0.0332
1293.7,748,0.0336
1295.1,748.5,0.0339
1296.6,749,0.0339
1298,749.5,0.0339
1299.5,750,0.0339
1301,750.5,0.0339
1302.4,751,0.0332
1303.9,751.5,0.0326
1305.4,752,0.0325
1306.8,752.5,0.0316
1308.3,753,0.0313
1309.7,753.5,0.0313
1311.2,754,0.0315
1312.7,754.5,0.0333
1314.1,755,0.0339
1315.6,755.5,0.0339
1317,756,0.0339
1318.5,756.5,0.0339
1320,757,0.0339
1321.4,757.5,0.0335
1322.9,758,0.032
1324.4,758.5,0.0316
1325.8,759,0.0316
1327.3,759.5,0.0316
1328.7,760,0.0316
1330.2,760.5,0.0316
1331.7,761,0.0324
1333.1,761.5,0.0329
1334.6,762,0.0329
1336.1,762.5,0.0332
1337.5,763,0.0334
1339,763.5,0.0322
1340.5,764,0.0322
1341.9,764.5,0.0322
1343.4,765,0.0322
1344.9,765.5,0.0323
1346.3,766,0.0323
1347.8,766.5,0.032
1349.3,767,0.0309
1350.7,767.5,0.0309
1352.2,768,0.0309
1353.7,768.5,0.0309
1355.1,769,0.0309
1356.6,769.5,0.0309
1358.1,770,0.0322
1359.5,770.5,0.0322
1361,771,0.0322
1362.5,771.5,0.0334
1363.9,772,0.0325
1365.4,772.5,0.0326
1366.9,773,0.0326
1368.3,773.5,0.0326
1369.8,774,0.0319
1371.3,774.5,0.0319
1372.7,775,0.0319
1374.2,775.5,0.0319
1375.6,776,0.0319
1377.1,776.5,0.0319
1378.6,777,0.0319
1380,777.5,0.0319
1381.5,778,0.0319
1383,778.5,0.0319
1384.4,779,0.0319
1385.9,779.5,0.0319
1387.4,780,0.0319
1388.8,780.5,0.0319
1390.3,781,0.0319
1391.8,781.5,0.032
1393.2,782,0.0313
1394.7,782.5,0.0313
1396.2,783,0.0313
1397.6,783.5,0.0313
1399.1,784,0.0313
1400.6,784.5,0.0313
1402,785,0.0313
1403.5,785.5,0.0313
1405,786,0.0313
1406.5,786.5,0.0313
1407.9,787,0.0313
