Temp,time,TGA,DSC,Sensitivity,Heating Rate,Heat Capacity
[K],[s],[mg],[uV/mg],[mW/uV],[K/s],[J/g/K]
361.4,190.2,3.9557,0.54861,0.921,0.321,1.57
361.5,190.6,3.9557,0.54919,0.918,0.321,1.57
361.6,190.9,3.9556,0.54984,0.916,0.321,1.57
361.7,191.2,3.9551,0.54995,0.918,0.321,1.58
361.8,191.5,3.9545,0.5496,0.919,0.321,1.57
361.9,191.8,3.9543,0.54905,0.917,0.323,1.56
362.0,192.1,3.9545,0.54869,0.915,0.325,1.55
362.1,192.4,3.9550,0.54875,0.915,0.324,1.55
362.2,192.7,3.9555,0.54921,0.917,0.322,1.56
362.3,193.0,3.9557,0.54972,0.918,0.322,1.57
362.4,193.4,3.9555,0.54952,0.916,0.323,1.56
362.5,193.7,3.9549,0.54887,0.912,0.323,1.55
362.6,194.0,3.9545,0.54903,0.910,0.323,1.55
362.7,194.3,3.9544,0.54998,0.912,0.323,1.55
362.8,194.6,3.9544,0.55058,0.918,0.324,1.56
362.9,194.9,3.9544,0.55047,0.923,0.325,1.56
363.0,195.2,3.9543,0.54988,0.920,0.325,1.56
363.1,195.5,3.9543,0.54904,0.917,0.325,1.55
363.2,195.8,3.9547,0.54818,0.918,0.325,1.55
363.3,196.1,3.9552,0.54791,0.921,0.324,1.56
363.4,196.4,3.9555,0.54886,0.921,0.323,1.56
363.5,196.7,3.9554,0.55003,0.918,0.325,1.55
363.6,197.1,3.9549,0.54989,0.915,0.326,1.54
363.7,197.4,3.9544,0.54905,0.911,0.325,1.54
363.8,197.7,3.9542,0.54875,0.909,0.324,1.54
363.9,198.0,3.9543,0.54878,0.909,0.325,1.54
364.0,198.3,3.9544,0.54859,0.910,0.325,1.54
364.1,198.6,3.9543,0.54821,0.913,0.324,1.55
364.2,198.9,3.9543,0.54789,0.914,0.323,1.55
364.3,199.2,3.9543,0.54783,0.914,0.325,1.54
364.4,199.5,3.9543,0.54812,0.914,0.327,1.53
364.5,199.8,3.9543,0.54841,0.915,0.326,1.54
364.6,200.1,3.9543,0.54844,0.914,0.324,1.55
364.7,200.4,3.9543,0.5484,0.915,0.325,1.54
364.8,200.7,3.9543,0.54857,0.920,0.326,1.55
364.9,201.1,3.9543,0.5491,0.922,0.325,1.56
365.0,201.4,3.9544,0.5499,0.919,0.324,1.56
365.1,201.7,3.9543,0.55035,0.917,0.325,1.55
365.2,202.0,3.9543,0.55017,0.913,0.326,1.54
365.3,202.3,3.9544,0.54987,0.911,0.325,1.54
365.4,202.6,3.9548,0.54989,0.912,0.325,1.54
365.5,202.9,3.9551,0.5503,0.913,0.325,1.55
365.6,203.2,3.9553,0.55094,0.916,0.326,1.55
365.7,203.5,3.9554,0.55139,0.916,0.325,1.55
365.8,203.8,3.9554,0.55141,0.915,0.325,1.55
365.9,204.1,3.9553,0.55109,0.919,0.325,1.56
366.0,204.4,3.9551,0.55043,0.925,0.325,1.57
366.1,204.7,3.9550,0.54939,0.922,0.325,1.56
366.2,205.1,3.9550,0.54864,0.916,0.323,1.55
366.3,205.4,3.9550,0.54949,0.915,0.322,1.56
366.4,205.7,3.9550,0.55153,0.917,0.323,1.57
366.5,206.0,3.9549,0.5528,0.917,0.324,1.57
366.6,206.3,3.9547,0.55279,0.916,0.325,1.56
366.7,206.6,3.9545,0.55217,0.915,0.326,1.55
366.8,206.9,3.9544,0.55167,0.915,0.326,1.55
366.9,207.2,3.9543,0.55189,0.914,0.325,1.55
367.0,207.5,3.9543,0.55226,0.913,0.325,1.55
367.1,207.8,3.9544,0.55168,0.911,0.326,1.54
367.2,208.1,3.9543,0.55091,0.910,0.326,1.54
367.3,208.4,3.9544,0.55137,0.911,0.326,1.54
