Time,Temperature,Heat Flow
[s],[K],[W/g]
1469.4492,367.044,-1.22936
1469.5908,367.144,-1.23156
1469.733,367.244,-1.23347
1469.8746,367.344,-1.23618
1470.0162,367.444,-1.23842
1470.1566,367.544,-1.24069
1470.297,367.644,-1.24356
1470.4374,367.744,-1.24663
1470.5772,367.844,-1.24973
1470.717,367.944,-1.25277
1470.8568,368.044,-1.25548
1470.9972,368.144,-1.25723
1471.1376,368.244,-1.25955
1471.2768,368.344,-1.26278
1471.4166,368.444,-1.26368
1471.5564,368.544,-1.26517
1471.6956,368.644,-1.2691
1471.8342,368.744,-1.27307
1471.9728,368.844,-1.27717
1472.112,368.944,-1.28044
1472.2506,369.044,-1.28157
1472.3892,369.144,-1.28334
1472.5278,369.244,-1.28634
1472.6658,369.344,-1.28926
1472.8038,369.444,-1.29139
1472.9412,369.544,-1.29336
1473.0786,369.644,-1.29552
1473.2172,369.744,-1.29693
1473.3558,369.844,-1.29905
1473.4944,369.944,-1.30224
1473.6324,370.044,-1.30466
1473.771,370.144,-1.30673
1473.909,370.244,-1.30913
1474.047,370.344,-1.31187
1474.1844,370.444,-1.31447
1474.3218,370.544,-1.31679
1474.4586,370.644,-1.31903
1474.5966,370.744,-1.32138
1474.7352,370.844,-1.32426
1474.8732,370.944,-1.32753
1475.0106,371.044,-1.32997
1475.148,371.144,-1.33175
1475.286,371.244,-1.3334
1475.4234,371.344,-1.335
1475.5614,371.444,-1.33684
1475.6988,371.544,-1.33903
1475.8344,371.644,-1.34141
1475.97,371.744,-1.34375
1476.1062,371.844,-1.34596
1476.2424,371.944,-1.34808
1476.3786,372.044,-1.35016
1476.5142,372.144,-1.3528
1476.6492,372.244,-1.35598
1476.7842,372.344,-1.35684
1476.9192,372.444,-1.35734
1477.0548,372.544,-1.36072
1477.1904,372.644,-1.36396
1477.3248,372.744,-1.36672
1477.4592,372.844,-1.37008
1477.5936,372.944,-1.37282
1477.7286,373.044,-1.37503
1477.8636,373.144,-1.37719
1477.9986,373.244,-1.37865
1478.133,373.344,-1.38078
1478.268,373.444,-1.38438
1478.4024,373.544,-1.38709
1478.5368,373.644,-1.38861
1478.6706,373.744,-1.3903
1478.805,373.844,-1.39395
1478.9382,373.944,-1.3983
1479.0714,374.044,-1.4015
1479.2052,374.144,-1.4033
1479.339,374.244,-1.40423
1479.4728,374.344,-1.40535
1479.6066,374.444,-1.40777
1479.741,374.544,-1.4105
1479.8736,374.644,-1.41264
1480.0074,374.744,-1.41499
1480.1412,374.844,-1.4181
1480.2738,374.944,-1.42129
1480.4064,375.044,-1.42277
1480.539,375.144,-1.4248
1480.6728,375.244,-1.42847
1480.8048,375.344,-1.43028
1480.9368,375.444,-1.4319
1481.0694,375.544,-1.43491
1481.2014,375.644,-1.43655
1481.3334,375.744,-1.43759
1481.466,375.844,-1.43981
1481.5992,375.944,-1.44303
