Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
950,32.465,118.5,530.27
951,32.355,119.1,521.31
952,32.265,118.9,529.02
953,32.195,119.6,531.29
954,32.165,120.3,526.88
955,32.135,120.9,528.49
956,32.045,121.1,530.61
957,31.975,121,531.57
958,31.935,119.1,528.16
959,31.845,118,529.21
960,31.815,118.4,528.23
961,31.705,116.7,532.7
962,31.645,118.8,535.89
963,31.575,117.4,530.54
964,31.515,119.2,530.25
965,31.405,118.4,533.97
966,31.365,116.6,536.64
967,31.315,118.9,540.05
968,31.265,120.1,533.62
969,31.195,120.3,540.17
970,31.125,118.9,536.34
971,31.095,119.9,535.83
972,31.035,120.2,539.14
973,30.965,119.2,542.58
974,30.885,119.5,538.97
975,30.825,118.2,534.01
976,30.765,119.2,539.05
977,30.645,118.7,539.79
978,30.565,117,547.73
979,30.495,119.6,539.54
980,30.415,119.6,544.81
981,30.375,116.5,534.67
982,30.295,116.9,546.87
983,30.245,119.3,542.29
984,30.185,117.1,540.13
985,30.175,118,556.31
986,30.055,119,549.55
987,30.005,119.2,550.65
988,29.975,117.2,548.08
989,29.875,120.4,556.05
990,29.855,118,545.81
991,29.845,116.5,553.13
992,29.765,119.3,555.13
993,29.665,119.1,553.93
994,29.605,116.8,548.89
995,29.505,118.4,558.64
996,29.455,118.6,552.54
997,29.375,118.5,548.85
998,29.325,119.6,553.38
999,29.275,116.8,563.97
1000,29.174,117.7,553.85
1001,29.084,117.6,556.27
