Time (s),Mass (g),MLR (g/s),TC back 1 (K),TC back 2 (K),TC back 3 (K)
1240,78.66,0.09,512.15,488.75,503.45
1241,78.62,0.04,512.35,488.95,503.55
1242,78.57,0.01,512.55,489.15,503.65
1243,78.52,0.03,512.65,489.45,503.85
1244,78.51,0.04,512.75,489.55,503.95
1245,78.55,0.06,512.95,489.75,504.15
1246,78.51,0.04,513.15,490.05,504.35
1247,78.41,-0.03,513.35,490.15,504.45
1248,78.46,-0.01,513.55,490.35,504.65
1249,78.37,0.09,513.65,490.55,504.85
1250,78.39,0.02,513.85,490.75,504.95
1251,78.32,0.01,513.95,490.95,505.15
1252,78.17,0.04,514.15,491.15,505.35
1253,78.16,0.01,514.25,491.35,505.35
1254,78.14,0.13,514.55,491.55,505.55
1255,78.12,0.09,514.75,491.75,505.75
1256,78.13,0.00,514.85,491.95,505.85
1257,78.05,0.02,515.05,492.15,506.05
1258,78.01,-0.00,515.25,492.35,506.15
1259,77.99,0.03,515.35,492.45,506.25
1260,78.00,0.07,515.55,492.75,506.45
1261,77.91,0.03,515.75,492.95,506.65
1262,77.98,-0.01,515.85,493.05,506.75
1263,77.87,0.05,516.05,493.35,506.95
1264,77.83,0.01,516.15,493.55,507.05
1265,77.79,0.01,516.35,493.65,507.15
1266,77.75,0.09,516.55,493.85,507.35
1267,77.70,0.03,516.75,494.15,507.55
1268,77.62,0.04,516.85,494.25,507.65
1269,77.68,0.04,517.05,494.45,507.85
1270,77.62,0.07,517.15,494.75,507.95
1271,77.55,0.01,517.35,494.85,508.15
1272,77.53,-0.01,517.55,495.05,508.25
1273,77.51,0.07,517.75,495.25,508.45
1274,77.53,0.04,517.85,495.45,508.55
1275,77.42,0.02,518.05,495.65,508.75
1276,77.44,-0.01,518.15,495.85,508.95
1277,77.44,0.05,518.25,496.05,508.95
1278,77.28,0.05,518.45,496.25,509.15
1279,77.32,-0.03,518.65,496.45,509.35
1280,77.28,0.10,518.75,496.55,509.45
1281,77.34,0.07,518.95,496.85,509.55
1282,77.29,-0.01,519.15,497.05,509.75
1283,77.23,-0.02,519.25,497.15,509.85
1284,77.15,-0.01,519.45,497.35,510.05
1285,77.12,0.07,519.65,497.65,510.25
1286,77.11,0.07,519.75,497.75,510.35
1287,77.05,0.05,519.95,497.95,510.45
1288,77.02,0.02,520.15,498.15,510.65
1289,76.96,0.04,520.25,498.35,510.75
1290,76.89,0.04,520.45,498.55,510.95
1291,76.90,0.04,520.65,498.75,511.15
1292,76.95,0.07,520.75,498.85,511.15
1293,76.82,0.04,520.85,499.05,511.35
1294,76.84,-0.05,521.15,499.35,511.55
1295,76.78,0.05,521.15,499.45,511.55
1296,76.71,0.07,521.35,499.65,511.75
1297,76.74,0.01,521.55,499.85,511.95
1298,76.72,0.08,521.65,499.95,512.05
1299,76.62,0.02,521.85,500.25,512.25
1300,76.58,-0.02,522.05,500.45,512.35
1301,76.51,0.07,522.15,500.55,512.45
1302,76.52,0.07,522.35,500.85,512.65
1303,76.53,0.05,522.55,501.05,512.85
1304,76.46,0.03,522.65,501.15,512.95
1305,76.47,-0.02,522.85,501.35,513.15
1306,76.37,0.03,523.05,501.65,513.25
1307,76.39,0.03,523.15,501.65,513.35
1308,76.34,0.05,523.25,501.95,513.55
1309,76.30,0.04,523.45,502.15,513.75
1310,76.25,0.00,523.55,502.25,513.75
1311,76.24,0.05,523.75,502.55,513.95
1312,76.26,0.05,523.95,502.75,514.15
1313,76.15,0.04,524.05,502.85,514.25
1314,76.11,-0.02,524.25,503.05,514.45
1315,76.12,0.05,524.45,503.35,514.65
1316,76.03,0.09,524.55,503.45,514.75
1317,76.00,-0.00,524.75,503.65,514.85
1318,75.95,0.04,524.95,503.95,515.05
1319,75.93,0.07,525.05,504.05,515.15
1320,75.88,0.04,525.15,504.25,515.25
1321,75.91,0.03,525.35,504.45,515.45
1322,75.85,0.04,525.45,504.55,515.55
1323,75.77,0.01,525.65,504.75,515.75
1324,75.79,0.01,525.85,505.05,515.95
1325,75.74,0.08,525.85,505.15,515.95
1326,75.67,0.02,526.05,505.35,516.15
1327,75.64,0.01,526.25,505.55,516.35
1328,75.59,0.07,526.35,505.65,516.45
1329,75.59,0.05,526.55,505.95,516.65
1330,75.58,0.04,526.75,506.15,516.85
1331,75.45,0.02,526.85,506.25,516.85
1332,75.56,-0.01,527.05,506.45,517.05
1333,75.41,0.09,527.25,506.65,517.25
1334,75.48,0.00,527.35,506.85,517.25
1335,75.41,0.02,527.55,507.05,517.45
1336,75.34,0.05,527.75,507.25,517.65
1337,75.36,-0.02,527.75,507.35,517.75
1338,75.34,0.09,527.95,507.55,517.85
1339,75.25,0.02,528.15,507.75,518.05
1340,75.18,-0.02,528.25,507.95,518.15
1341,75.17,0.06,528.35,508.15,518.25
1342,75.11,0.10,528.55,508.35,518.45
1343,75.10,0.03,528.65,508.45,518.55
1344,75.03,0.03,528.85,508.65,518.65
1345,74.99,0.03,529.05,508.85,518.85
1346,74.98,0.04,529.15,508.95,518.95
1347,74.91,0.06,529.35,509.25,519.15
1348,74.83,0.02,529.55,509.45,519.25
1349,74.85,0.04,529.65,509.55,519.35
1350,74.75,0.09,529.75,509.75,519.55
1351,74.77,0.02,529.95,509.95,519.75
1352,74.73,0.04,530.05,510.05,519.85
1353,74.71,0.05,530.25,510.35,520.05
1354,74.69,0.00,530.45,510.55,520.15
1355,74.64,0.03,530.55,510.65,520.25
1356,74.59,0.02,530.65,510.85,520.45
1357,74.58,0.04,530.85,511.05,520.55
1358,74.52,0.05,530.95,511.15,520.65
1359,74.49,0.03,531.15,511.45,520.85
1360,74.46,0.03,531.35,511.55,520.95
1361,74.36,0.05,531.35,511.75,521.05
1362,74.38,0.03,531.55,511.95,521.25
1363,74.35,0.07,531.75,512.15,521.45
1364,74.25,0.04,531.85,512.25,521.45
1365,74.25,-0.01,532.05,512.45,521.65
1366,74.25,0.08,532.15,512.65,521.85
1367,74.23,0.05,532.25,512.75,521.95
1368,74.16,-0.01,532.45,512.95,522.05
1369,74.10,0.01,532.65,513.25,522.25
1370,74.12,0.05,532.75,513.35,522.35
1371,74.06,0.07,532.95,513.55,522.45
1372,73.99,0.01,533.05,513.75,522.65
1373,74.02,0.02,533.15,513.85,522.65
1374,73.93,0.08,533.35,514.05,522.85
1375,73.91,0.01,533.55,514.25,523.05
1376,73.92,0.03,533.65,514.35,523.15
1377,73.82,0.06,533.85,514.65,523.25
1378,73.79,-0.01,533.95,514.75,523.45
1379,73.74,0.05,534.05,514.95,523.55
1380,73.66,0.07,534.25,515.15,523.65
1381,73.68,0.03,534.45,515.35,523.85
1382,73.70,0.07,534.45,515.45,523.95
1383,73.60,0.04,534.65,515.65,524.15
1384,73.54,-0.04,534.85,515.85,524.35
1385,73.47,0.04,534.95,515.95,524.45
1386,73.45,0.09,535.15,516.25,524.55
1387,73.40,0.07,535.35,516.45,524.75
1388,73.38,0.04,535.35,516.55,524.75
1389,73.32,0.03,535.55,516.75,524.95
1390,73.29,0.03,535.65,516.95,525.15
1391,73.26,0.04,535.85,517.05,525.25
1392,73.27,0.05,535.95,517.25,525.35
1393,73.18,0.03,536.15,517.45,525.55
1394,73.18,0.00,536.25,517.55,525.65
1395,73.15,0.05,536.45,517.75,525.75
1396,73.08,0.05,536.55,517.95,525.95
1397,73.03,0.00,536.65,518.05,526.05
1398,73.01,0.06,536.85,518.35,526.15
1399,72.96,0.06,537.05,518.55,526.35
1400,72.89,0.03,537.15,518.65,526.45
1401,72.83,0.03,537.35,518.85,526.55
1402,72.82,0.06,537.55,519.05,526.75
1403,72.81,0.07,537.65,519.15,526.85
1404,72.73,0.04,537.75,519.35,526.95
1405,72.73,0.00,537.95,519.55,527.15
1406,72.69,0.05,538.05,519.65,527.25
1407,72.63,0.04,538.25,519.95,527.45
1408,72.58,0.01,538.35,520.15,527.55
1409,72.55,0.06,538.45,520.25,527.65
1410,72.48,0.06,538.65,520.45,527.85
1411,72.50,0.03,538.75,520.55,527.95
1412,72.42,0.05,538.85,520.75,528.05
1413,72.45,0.02,539.05,520.95,528.25
1414,72.42,0.03,539.25,521.15,528.35
1415,72.36,0.03,539.35,521.25,528.45
1416,72.30,-0.01,539.45,521.45,528.65
1417,72.27,0.05,539.65,521.65,528.75
1418,72.21,0.06,539.75,521.75,528.85
1419,72.20,0.04,539.95,521.95,528.95
1420,72.12,0.05,540.15,522.15,529.15
1421,72.08,0.04,540.15,522.25,529.25
1422,72.07,0.04,540.35,522.45,529.45
1423,72.01,0.07,540.55,522.65,529.55
1424,71.95,0.02,540.65,522.75,529.65
1425,71.94,0.03,540.85,523.05,529.85
1426,71.89,0.07,540.95,523.25,529.95
1427,71.87,0.03,541.05,523.35,530.05
1428,71.81,0.03,541.25,523.55,530.15
1429,71.76,0.03,541.45,523.75,530.35
1430,71.74,0.04,541.55,523.85,530.45
1431,71.71,0.06,541.65,524.05,530.55
1432,71.67,0.03,541.85,524.25,530.75
1433,71.62,0.02,541.95,524.35,530.85
1434,71.61,0.04,542.05,524.55,530.95
1435,71.56,0.05,542.25,524.75,531.15
1436,71.50,0.03,542.35,524.85,531.25
1437,71.50,0.03,542.55,525.05,531.35
1438,71.45,0.07,542.75,525.25,531.55
1439,71.35,0.03,542.85,525.35,531.65
1440,71.38,0.01,543.05,525.55,531.75
1441,71.35,0.09,543.15,525.75,531.95
1442,71.31,0.04,543.25,525.85,532.05
1443,71.24,-0.01,543.45,526.05,532.15
1444,71.18,0.04,543.65,526.35,532.35
1445,71.10,0.06,543.75,526.45,532.35
1446,71.14,0.07,543.85,526.65,532.55
1447,71.08,0.08,544.05,526.85,532.65
1448,71.01,0.01,544.15,526.95,532.75
1449,71.01,0.00,544.25,527.15,532.95
1450,70.93,0.08,544.45,527.35,533.05
1451,70.89,0.02,544.55,527.45,533.15
1452,70.87,0.04,544.75,527.65,533.25
1453,70.83,0.07,544.85,527.85,533.45
1454,70.81,0.02,544.95,527.95,533.55
1455,70.72,0.03,545.15,528.15,533.65
1456,70.69,0.03,545.35,528.35,533.85
1457,70.67,0.06,545.35,528.45,533.95
1458,70.60,0.06,545.55,528.65,534.05
1459,70.60,0.01,545.75,528.85,534.25
1460,70.56,0.05,545.85,528.95,534.35
1461,70.50,0.04,545.95,529.15,534.45
1462,70.49,0.01,546.15,529.25,534.65
1463,70.42,0.06,546.25,529.45,534.65
1464,70.37,0.04,546.45,529.65,534.85
1465,70.33,0.04,546.55,529.85,534.95
1466,70.30,0.06,546.65,529.95,535.05
1467,70.26,0.04,546.85,530.15,535.25
1468,70.22,0.04,547.05,530.35,535.35
1469,70.16,0.03,547.05,530.45,535.45
1470,70.15,0.04,547.25,530.65,535.55
1471,70.07,0.06,547.45,530.85,535.75
1472,70.06,0.03,547.55,530.95,535.85
1473,70.05,0.05,547.75,531.15,535.95
1474,69.96,0.05,547.85,531.35,536.15
1475,69.91,-0.01,547.95,531.45,536.15
1476,69.88,0.05,548.15,531.65,536.35
1477,69.83,0.08,548.35,531.85,536.55
1478,69.79,0.03,548.45,531.95,536.65
1479,69.75,0.04,548.55,532.15,536.75
1480,69.69,0.05,548.75,532.35,536.85
1481,69.64,0.04,548.85,532.45,536.95
1482,69.61,0.05,549.05,532.65,537.15
1483,69.55,0.06,549.15,532.85,537.25
1484,69.50,0.03,549.25,532.95,537.35
1485,69.48,0.05,549.45,533.15,537.55
1486,69.44,0.06,549.65,533.35,537.65
1487,69.41,0.04,549.75,533.45,537.75
1488,69.42,0.03,549.85,533.65,537.85
1489,69.35,0.03,550.05,533.85,537.95
1490,69.26,0.01,550.15,533.95,538.05
1491,69.24,0.03,550.35,534.15,538.25
1492,69.20,0.09,550.55,534.35,538.35
1493,69.16,0.05,550.65,534.45,538.45
1494,69.11,0.02,550.75,534.65,538.65
1495,69.04,0.04,550.95,534.85,538.75
1496,68.99,0.04,550.95,534.95,538.85
1497,68.96,0.06,551.15,535.15,538.95
1498,68.92,0.06,551.35,535.35,539.15
1499,68.88,0.04,551.45,535.45,539.15
1500,68.84,0.03,551.65,535.65,539.35
1501,68.82,0.04,551.75,535.85,539.55
1502,68.78,0.04,551.85,535.95,539.55
1503,68.70,0.03,552.05,536.15,539.75
1504,68.63,0.03,552.15,536.35,539.85
1505,68.63,0.06,552.25,536.45,539.95
1506,68.60,0.08,552.45,536.65,540.05
1507,68.54,0.03,552.65,536.85,540.25
1508,68.55,0.01,552.65,536.95,540.25
1509,68.51,0.05,552.85,537.15,540.45
1510,68.43,0.02,553.05,537.35,540.55
1511,68.38,0.01,553.05,537.45,540.65
1512,68.33,0.07,553.25,537.65,540.85
1513,68.29,0.06,553.45,537.85,540.95
1514,68.24,0.05,553.55,537.95,540.95
1515,68.23,0.05,553.75,538.15,541.15
1516,68.20,0.05,553.85,538.35,541.35
1517,68.15,0.03,553.95,538.55,541.45
1518,68.07,0.02,554.15,538.75,541.55
1519,68.04,0.04,554.25,538.85,541.75
1520,68.00,0.07,554.35,538.95,541.85
1521,67.96,0.05,554.55,539.15,541.95
1522,67.91,0.03,554.75,539.35,542.05
1523,67.88,0.04,554.85,539.55,542.15
1524,67.83,0.05,554.95,539.75,542.25
1525,67.79,0.04,555.15,539.85,542.45
1526,67.74,0.04,555.25,539.95,542.45
1527,67.70,0.04,555.35,540.15,542.65
1528,67.71,0.04,555.55,540.45,542.75
1529,67.63,0.05,555.65,540.55,542.85
1530,67.59,0.01,555.85,540.75,543.05
1531,67.54,0.03,555.95,540.85,543.15
1532,67.48,0.06,556.05,540.95,543.15
1533,67.46,0.04,556.25,541.15,543.35
1534,67.41,0.06,556.35,541.35,543.55
1535,67.34,0.04,556.45,541.45,543.55
1536,67.31,0.03,556.65,541.75,543.75
1537,67.30,0.07,556.75,541.95,543.85
1538,67.25,0.05,556.85,541.95,543.95
1539,67.19,0.01,557.05,542.15,544.05
1540,67.18,0.03,557.15,542.35,544.15
1541,67.14,0.06,557.25,542.45,544.25
1542,67.07,0.03,557.45,542.75,544.35
1543,67.02,0.02,557.65,542.85,544.55
1544,66.97,0.06,557.65,543.05,544.65
1545,66.94,0.06,557.85,543.15,544.75
1546,66.83,0.05,558.05,543.35,544.95
1547,66.83,0.03,558.15,543.55,545.05
1548,66.78,0.08,558.25,543.75,545.15
1549,66.73,0.06,558.45,543.95,545.35
1550,66.70,0.01,558.55,544.05,545.35
1551,66.62,0.05,558.65,544.15,545.55
1552,66.62,0.04,558.85,544.35,545.65
1553,66.59,0.06,558.95,544.55,545.75
1554,66.56,0.04,559.05,544.65,545.85
1555,66.51,0.01,559.25,544.85,545.95
1556,66.44,0.04,559.35,544.95,546.05
1557,66.39,0.04,559.45,545.15,546.15
1558,66.35,0.06,559.65,545.35,546.35
1559,66.37,0.06,559.75,545.45,546.35
1560,66.27,0.05,559.85,545.65,546.55
1561,66.27,0.00,560.05,545.85,546.65
1562,66.19,0.04,560.15,545.95,546.75
1563,66.16,0.05,560.25,546.15,546.85
1564,66.11,0.04,560.45,546.35,546.95
1565,66.05,0.06,560.45,546.45,547.05
1566,66.03,0.04,560.65,546.65,547.15
1567,66.00,0.06,560.85,546.85,547.35
1568,65.94,0.04,560.95,546.95,547.35
1569,65.91,0.02,561.05,547.15,547.55
1570,65.91,0.05,561.25,547.35,547.65
1571,65.78,0.05,561.25,547.45,547.75
1572,65.77,-0.00,561.45,547.65,547.95
1573,65.74,0.07,561.65,547.85,548.05
1574,65.66,0.08,561.65,547.85,548.15
1575,65.65,0.00,561.85,548.05,548.25
1576,65.59,0.06,562.05,548.25,548.35
1577,65.55,0.05,562.05,548.35,548.45
1578,65.49,0.03,562.25,548.45,548.55
1579,65.46,0.05,562.45,548.75,548.75
1580,65.40,0.05,562.45,548.85,548.85
1581,65.38,0.05,562.65,549.05,548.95
1582,65.33,0.04,562.75,549.25,549.05
1583,65.30,0.04,562.85,549.35,549.15
1584,65.23,0.04,563.05,549.55,549.25
1585,65.19,0.04,563.15,549.75,549.45
1586,65.10,0.05,563.25,549.85,549.45
1587,65.07,0.05,563.45,550.05,549.65
1588,65.06,0.07,563.55,550.25,549.75
1589,64.99,0.07,563.65,550.35,549.85
1590,64.95,0.01,563.75,550.55,549.95
1591,64.93,0.04,563.95,550.65,550.05
1592,64.87,0.06,564.05,550.85,550.15
1593,64.85,0.02,564.15,551.05,550.25
1594,64.78,0.04,564.35,551.15,550.45
1595,64.75,0.04,564.45,551.25,550.45
1596,64.68,0.04,564.55,551.45,550.55
1597,64.63,0.05,564.75,551.65,550.65
1598,64.60,0.05,564.85,551.75,550.75
1599,64.57,0.07,564.95,551.95,550.95
1600,64.56,0.04,565.15,552.15,551.05
1601,64.48,0.03,565.15,552.25,551.15
1602,64.44,0.02,565.35,552.45,551.25
1603,64.40,0.05,565.45,552.65,551.45
1604,64.36,0.07,565.55,552.75,551.45
1605,64.30,0.04,565.75,552.95,551.65
1606,64.23,0.04,565.85,553.15,551.75
1607,64.21,0.05,565.95,553.25,551.85
1608,64.16,0.07,566.05,553.45,551.95
1609,64.10,0.04,566.25,553.65,552.05
1610,64.04,0.03,566.35,553.75,552.15
1611,64.01,0.06,566.45,553.95,552.25
1612,63.96,0.06,566.65,554.05,552.35
1613,63.96,0.05,566.65,554.15,552.45
1614,63.91,0.04,566.85,554.35,552.65
1615,63.85,0.02,566.95,554.55,552.75
1616,63.81,0.02,567.05,554.65,552.85
1617,63.74,0.06,567.15,554.85,552.95
1618,63.73,0.05,567.35,555.05,553.05
1619,63.66,0.06,567.45,555.15,553.15
1620,63.59,0.04,567.55,555.35,553.25
1621,63.56,0.03,567.75,555.55,553.35
1622,63.54,0.08,567.85,555.55,553.45
1623,63.48,0.05,567.95,555.75,553.55
1624,63.43,0.02,568.05,556.05,553.75
1625,63.39,0.04,568.15,556.05,553.85
1626,63.35,0.06,568.35,556.25,553.95
1627,63.29,0.04,568.45,556.45,554.05
1628,63.21,0.04,568.55,556.55,554.05
1629,63.19,0.05,568.65,556.75,554.25
1630,63.15,0.07,568.75,556.95,554.35
1631,63.12,0.05,568.85,557.05,554.45
1632,63.09,0.02,568.95,557.15,554.55
1633,63.05,0.04,569.15,557.35,554.65
1634,62.96,0.03,569.25,557.45,554.75
1635,62.93,0.03,569.35,557.65,554.85
1636,62.87,0.07,569.45,557.85,555.05
1637,62.81,0.06,569.55,557.95,555.05
1638,62.81,0.04,569.65,558.15,555.25
1639,62.73,0.07,569.85,558.35,555.35
1640,62.69,0.02,569.85,558.35,555.35
1641,62.64,0.04,569.95,558.55,555.45
1642,62.60,0.07,570.15,558.75,555.65
1643,62.55,0.05,570.25,558.85,555.65
1644,62.52,0.04,570.35,559.05,555.85
1645,62.48,0.04,570.45,559.25,555.95
1646,62.43,0.04,570.55,559.35,556.05
1647,62.37,0.04,570.65,559.55,556.15
1648,62.37,0.04,570.85,559.75,556.25
1649,62.30,0.06,570.85,559.85,556.35
1650,62.25,0.03,571.05,560.05,556.45
1651,62.22,0.03,571.15,560.25,556.55
1652,62.14,0.07,571.25,560.25,556.65
1653,62.10,0.03,571.35,560.45,556.75
1654,62.07,0.06,571.45,560.65,556.85
1655,62.03,0.07,571.55,560.75,556.95
1656,61.98,0.02,571.65,560.95,557.05
1657,61.95,0.04,571.85,561.15,557.15
1658,61.87,0.05,571.95,561.25,557.25
1659,61.85,0.03,572.05,561.35,557.45
1660,61.84,0.06,572.15,561.55,557.45
1661,61.74,0.06,572.25,561.65,557.55
1662,61.70,-0.00,572.35,561.85,557.65
1663,61.68,0.06,572.45,562.05,557.85
1664,61.60,0.08,572.55,562.15,557.85
1665,61.53,0.01,572.65,562.35,557.95
1666,61.49,0.05,572.85,562.45,558.15
1667,61.45,0.09,572.85,562.55,558.15
1668,61.40,0.05,573.05,562.75,558.35
1669,61.35,0.04,573.15,562.95,558.45
1670,61.29,0.05,573.15,563.05,558.55
1671,61.26,0.05,573.35,563.25,558.65
1672,61.20,0.05,573.45,563.35,558.75
1673,61.17,0.04,573.55,563.45,558.85
1674,61.13,0.05,573.65,563.65,558.95
1675,61.11,0.04,573.75,563.85,559.05
1676,61.09,0.03,573.85,563.85,559.05
1677,61.01,0.03,573.95,564.05,559.25
1678,60.93,0.01,574.05,564.25,559.35
1679,60.90,0.05,574.15,564.35,559.45
1680,60.83,0.09,574.25,564.55,559.55
1681,60.77,0.06,574.35,564.75,559.65
1682,60.74,0.05,574.45,564.85,559.75
1683,60.72,0.07,574.55,564.95,559.85
1684,60.64,0.05,574.65,565.15,559.95
1685,60.63,0.02,574.75,565.25,560.05
1686,60.63,0.05,574.85,565.45,560.15
1687,60.57,0.05,575.05,565.55,560.25
1688,60.49,-0.00,575.05,565.65,560.35
1689,60.43,0.03,575.25,565.85,560.45
1690,60.37,0.08,575.35,566.05,560.55
1691,60.33,0.07,575.35,566.15,560.65
1692,60.29,0.06,575.45,566.25,560.75
1693,60.24,0.05,575.65,566.45,560.85
1694,60.20,0.03,575.65,566.55,560.95
1695,60.16,0.04,575.75,566.75,561.05
1696,60.11,0.04,575.95,566.95,561.15
1697,60.10,0.04,575.95,566.95,561.25
1698,60.07,0.05,576.15,567.15,561.35
1699,59.98,0.03,576.25,567.35,561.45
1700,59.93,0.01,576.35,567.45,561.55
1701,59.87,0.07,576.35,567.55,561.65
1702,59.86,0.08,576.55,567.75,561.75
1703,59.79,0.05,576.55,567.85,561.85
1704,59.72,0.03,576.65,568.05,561.95
1705,59.65,0.04,576.75,568.15,562.15
1706,59.62,0.08,576.85,568.25,562.15
1707,59.58,0.08,576.95,568.45,562.25
1708,59.56,0.05,577.05,568.55,562.45
1709,59.49,0.03,577.15,568.65,562.45
1710,59.40,0.03,577.25,568.85,562.55
1711,59.36,0.04,577.35,568.95,562.65
1712,59.33,0.09,577.45,569.05,562.75
1713,59.32,0.07,577.45,569.25,562.85
1714,59.26,0.03,577.55,569.35,562.95
1715,59.22,0.02,577.65,569.45,563.05
1716,59.18,0.04,577.75,569.65,563.15
1717,59.15,0.05,577.85,569.75,563.25
1718,59.11,0.04,577.95,569.85,563.35
1719,59.03,0.04,577.95,569.95,563.45
1720,59.00,0.03,578.15,570.15,563.65
1721,58.93,0.07,578.15,570.25,563.65
1722,58.89,0.06,578.25,570.35,563.75
1723,58.85,0.05,578.35,570.55,563.85
1724,58.81,0.05,578.45,570.65,563.95
1725,58.74,0.04,578.55,570.75,564.05
1726,58.70,0.04,578.65,570.95,564.15
1727,58.66,0.06,578.65,571.05,564.25
1728,58.62,0.06,578.75,571.15,564.35
1729,58.55,0.03,578.85,571.35,564.45
1730,58.53,0.04,578.95,571.45,564.55
1731,58.46,0.06,579.05,571.55,564.65
1732,58.41,0.04,579.05,571.75,564.75
1733,58.35,0.04,579.15,571.85,564.85
1734,58.35,0.07,579.25,571.95,564.95
1735,58.29,0.06,579.35,572.15,565.05
1736,58.19,0.02,579.35,572.15,565.15
1737,58.18,0.02,579.45,572.35,565.25
1738,58.16,0.09,579.55,572.45,565.35
1739,58.10,0.05,579.65,572.55,565.45
1740,58.06,0.00,579.65,572.75,565.55
1741,58.03,0.05,579.75,572.85,565.65
1742,58.00,0.06,579.85,572.95,565.75
1743,57.91,0.03,579.95,573.05,565.85
1744,57.84,0.02,580.05,573.25,565.95
1745,57.82,0.06,580.05,573.35,565.95
1746,57.78,0.09,580.15,573.45,566.15
1747,57.72,0.04,580.25,573.65,566.25
1748,57.69,0.03,580.25,573.75,566.25
1749,57.66,0.05,580.35,573.85,566.35
1750,57.58,0.04,580.45,573.95,566.45
1751,57.52,0.02,580.55,574.05,566.55
1752,57.50,0.06,580.65,574.15,566.65
1753,57.48,0.07,580.65,574.35,566.85
1754,57.41,0.04,580.75,574.45,566.85
1755,57.35,0.01,580.85,574.55,566.95
1756,57.33,0.04,580.85,574.75,567.05
1757,57.32,0.07,580.95,574.85,567.15
1758,57.24,0.04,581.05,574.95,567.25
1759,57.16,0.01,581.15,575.15,567.35
1760,57.13,0.05,581.15,575.15,567.45
1761,57.10,0.09,581.25,575.35,567.55
1762,57.05,0.05,581.35,575.45,567.75
1763,57.01,0.03,581.35,575.55,567.75
1764,56.95,0.05,581.45,575.75,567.85
1765,56.89,0.04,581.55,575.85,568.05
1766,56.86,0.05,581.65,575.95,568.05
1767,56.83,0.07,581.65,576.05,568.15
1768,56.81,0.04,581.75,576.25,568.25
1769,56.73,0.03,581.75,576.35,568.35
1770,56.68,0.02,581.85,576.45,568.45
1771,56.64,0.05,581.95,576.55,568.55
1772,56.61,0.07,582.05,576.65,568.65
1773,56.56,0.04,582.05,576.85,568.65
1774,56.52,0.04,582.15,576.95,568.85
1775,56.46,0.04,582.25,577.05,568.85
1776,56.41,0.04,582.25,577.15,568.95
1777,56.37,0.05,582.35,577.35,569.15
1778,56.34,0.06,582.45,577.35,569.15
1779,56.26,0.05,582.55,577.55,569.25
1780,56.20,0.03,582.55,577.65,569.35
1781,56.17,0.05,582.65,577.75,569.45
1782,56.10,0.08,582.65,577.85,569.55
1783,56.07,0.04,582.75,578.05,569.65
1784,56.05,0.05,582.85,578.05,569.75
1785,56.02,0.05,582.85,578.25,569.85
1786,55.98,0.02,582.95,578.35,569.95
1787,55.93,0.02,582.95,578.45,570.05
1788,55.88,0.04,583.05,578.55,570.15
1789,55.82,0.05,583.15,578.75,570.25
1790,55.76,0.04,583.15,578.85,570.25
1791,55.72,0.06,583.25,578.95,570.45
1792,55.67,0.06,583.35,579.05,570.45
1793,55.65,0.05,583.35,579.15,570.55
1794,55.61,0.04,583.45,579.25,570.65
1795,55.54,0.04,583.45,579.45,570.85
1796,55.50,0.03,583.55,579.55,570.85
1797,55.47,0.06,583.55,579.65,570.95
1798,55.39,0.06,583.65,579.75,571.05
1799,55.33,0.03,583.65,579.85,571.05
1800,55.29,0.05,583.85,580.05,571.25
1801,55.26,0.08,583.85,580.15,571.35
1802,55.23,0.05,583.95,580.15,571.35
1803,55.20,0.03,583.95,580.35,571.45
1804,55.11,0.03,584.05,580.55,571.65
1805,55.08,0.03,584.05,580.55,571.65
1806,55.04,0.06,584.15,580.65,571.75
1807,54.99,0.06,584.25,580.85,571.95
1808,54.94,0.03,584.25,580.95,571.95
1809,54.89,0.05,584.35,581.05,572.05
1810,54.82,0.05,584.45,581.15,572.15
1811,54.78,0.05,584.45,581.25,572.25
1812,54.76,0.06,584.55,581.35,572.35
1813,54.72,0.06,584.55,581.55,572.45
1814,54.69,0.03,584.65,581.55,572.45
1815,54.65,0.03,584.75,581.75,572.55
1816,54.60,0.04,584.75,581.85,572.65
1817,54.55,0.04,584.85,581.95,572.75
1818,54.49,0.04,584.85,582.05,572.85
1819,54.44,0.05,584.95,582.25,572.95
1820,54.40,0.05,585.05,582.25,572.95
1821,54.35,0.06,585.05,582.35,573.15
1822,54.31,0.05,585.15,582.55,573.25
1823,54.25,0.04,585.15,582.65,573.25
1824,54.21,0.04,585.25,582.75,573.35
1825,54.17,0.05,585.35,582.85,573.55
1826,54.15,0.05,585.35,582.95,573.55
1827,54.10,0.04,585.45,583.05,573.65
1828,54.05,0.03,585.45,583.25,573.75
1829,53.99,0.03,585.55,583.25,573.85
1830,53.97,0.05,585.55,583.45,573.95
1831,53.92,0.06,585.65,583.55,574.05
1832,53.85,0.04,585.65,583.65,574.15
1833,53.80,0.03,585.75,583.75,574.15
1834,53.74,0.06,585.75,583.85,574.25
1835,53.71,0.06,585.85,583.95,574.35
1836,53.65,0.05,585.85,584.05,574.45
1837,53.65,0.04,585.95,584.15,574.55
1838,53.62,0.05,586.05,584.25,574.65
1839,53.58,0.03,586.05,584.45,574.75
1840,53.55,0.01,586.15,584.55,574.85
1841,53.48,0.04,586.15,584.55,574.95
1842,53.41,0.03,586.25,584.75,575.05
1843,53.37,0.05,586.35,584.85,575.15
1844,53.32,0.08,586.35,584.95,575.15
