Time,Sample Mass,HRR,Back Surface Temperature
[s],[g],[kW],[K]
491,18.47607422,3.85936615,
492,18.36608887,3.785551758,604.15
493,18.23614502,3.795731506,
494,18.08624268,3.773354492,605.65
495,17.94622803,3.694475708,
496,17.81628418,3.680159607,608.15
497,17.68634033,3.670939636,
498,17.56634521,3.659083252,610.65
499,17.31640625,3.595485535,
500,17.27648926,3.581238708,612.65
501,17.17645264,3.465527344,
502,17.01654053,3.367374878,615.15
503,16.9465332,3.315898743,
504,16.81658936,3.290810547,617.65
505,16.7265625,3.177185669,
506,16.58666992,3.192805176,619.15
507,16.5166626,3.181424561,
508,16.41668701,3.079425964,621.15
509,16.33673096,3.149243774,
510,16.2467041,3.040206604,622.65
511,16.13677979,3.032882996,
512,15.99682617,2.98108429,625.15
513,15.91680908,3.006781616,
514,15.82684326,2.925643921,627.65
515,15.68688965,2.884000854,
516,15.5869751,2.922391968,630.15
517,15.44696045,2.896973877,
518,15.38702393,2.840951843,634.15
519,15.29699707,2.805027466,
520,15.19702148,2.815836487,638.65
521,15.10705566,2.800710754,
522,14.98706055,2.724669189,642.65
523,14.92712402,2.653295898,
524,14.86712646,2.627789001,647.65
525,14.77716064,2.618207397,
526,14.69720459,2.545884247,652.15
527,14.59716797,2.58024231,
528,14.50726318,2.542803345,658.15
529,14.42724609,2.51746109,
530,14.33728027,2.514936218,665.65
531,14.23730469,2.541221161,
532,14.12731934,2.473101196,674.65
533,14.07739258,2.439324188,
534,14.01739502,2.440998535,685.15
535,13.90740967,2.371834106,
536,13.84741211,2.341560669,700.15
537,13.75744629,2.320521698,
538,13.64752197,2.352509003,716.65
539,13.59747314,2.320051727,
540,13.53747559,2.253822632,734.65
541,13.45758057,2.291009521,
542,13.36755371,2.30569458,757.15
543,13.25762939,2.24560379,
544,13.18762207,2.246711731,777.15
545,13.08764648,2.234889374,
546,13.00769043,2.220395355,794.65
547,12.95770264,2.269050446,
548,12.90765381,2.258209076,808.15
549,12.81774902,2.205880432,
550,12.78771973,2.14818222,820.65
551,12.72772217,2.1347995,
552,12.66772461,2.101037292,835.15
553,12.55780029,2.145624237,
554,12.45782471,2.08420639,845.65
555,12.39788818,2.084352722,
556,12.38787842,2.031916656,853.15
557,12.31787109,2.052962036,
558,12.19793701,2.029651947,867.15
559,12.17791748,1.996791229,
560,12.11791992,1.986941833,880.65
561,12.05792236,2.020767059,
562,11.95800781,2.03448349,883.65
563,11.88800049,1.970922394,
564,11.82800293,1.972289886,888.15
565,11.74804688,1.903372498,
566,11.69805908,1.941571198,892.65
567,11.60803223,1.913885193,
568,11.61804199,1.907710724,895.65
569,11.5480957,1.839335785,
570,11.51812744,1.824179993,901.15
571,11.44812012,1.821218109,
572,11.38812256,1.796677704,905.65
573,11.34814453,1.770453644,
574,11.24816895,1.776470947,909.15
575,11.18817139,1.786665192,
576,11.15820313,1.781066132,916.15
577,11.1182251,1.770982513,
578,11.05822754,1.71010025,920.15
579,10.98822021,1.682207184,
580,10.93829346,1.733736115,924.15
581,10.89831543,1.695819855,
582,10.82830811,1.674855347,927.65
583,10.78826904,1.654096832,
584,10.75830078,1.620997772,935.15
585,10.74835205,1.63546524,
586,10.67834473,1.632402649,945.15
587,10.6083374,1.596202087,
588,10.50842285,1.56272934,948.65
589,10.47839355,1.589445648,
590,10.45843506,1.589498749,950.15
591,10.43841553,1.566449585,
592,10.3684082,1.534886169,945.15
593,10.30847168,1.542286835,
594,10.24847412,1.51786499,941.65
595,10.19848633,1.530602417,
596,10.1784668,1.519264679,935.65
597,10.128479,1.50609787,
598,10.07855225,1.486432648,931.15
599,9.978515625,1.487738342,
600,10.01855469,1.504817352,931.15
601,9.928527832,1.472451324,
602,9.908508301,1.472412415,929.15
603,9.88861084,1.484827728,
604,9.798583984,1.449269867,926.15
605,9.738586426,1.454941559,
606,9.708618164,1.467841644,922.15
607,9.678649902,1.455443726,
608,9.568664551,1.465218353,919.65
609,9.518676758,1.453683167,
610,9.468688965,1.424590912,921.65
611,9.47869873,1.395713806,
612,9.438720703,1.42619751,919.65
613,9.458740234,1.415961304,
614,9.38873291,1.396203156,918.15
615,9.358703613,1.415277405,
616,9.298706055,1.404677429,915.15
617,9.288696289,1.405309601,
618,9.20880127,1.40822876,910.65
619,9.158752441,1.386623688,
620,9.12878418,1.385716705,905.65
621,9.068786621,1.382678375,
622,9.008850098,1.39445755,898.65
623,8.998840332,1.387719116,
624,8.908813477,1.332529602,890.65
625,8.838928223,1.372658234,
626,8.848876953,1.3453302,882.65
627,8.828918457,1.347427216,
628,8.79888916,1.347743073,874.15
629,8.79888916,1.362321167,
630,8.728881836,1.343531342,866.15
631,8.588989258,1.339514313,
632,8.598937988,1.350292053,857.65
633,8.598937988,1.373808594,
634,8.508972168,1.364076538,850.15
635,8.408996582,1.358170471,
636,8.438964844,1.343223267,843.65
637,8.438964844,1.338535156,
638,8.428955078,1.308919525,837.15
639,8.359008789,1.34019516,
640,8.289001465,1.299353638,831.15
641,8.269042969,1.282371979,
642,8.259033203,1.302804108,825.15
643,8.229003906,1.275852814,
644,8.149108887,1.306675262,817.15
645,8.089111328,1.288689575,
646,8.069091797,1.313956451,810.15
647,8.019104004,1.293541412,
648,7.999145508,1.301536255,805.65
649,7.989135742,1.284314117,
650,7.949157715,1.279644775,802.15
651,7.859130859,1.280566559,
652,7.839172363,1.266878891,798.15
653,7.839172363,1.276080246,
654,7.759216309,1.273760681,792.65
655,7.729187012,1.245768433,
656,7.729187012,1.252127075,792.65
657,7.729187012,1.239843292,
658,7.669189453,1.228590775,786.65
659,7.61920166,1.225245514,
660,7.539245605,1.267486267,779.65
661,7.509277344,1.240082169,
662,7.469238281,1.240662689,773.65
663,7.409240723,1.246683731,
664,7.399291992,1.245013885,768.65
665,7.409240723,1.235296783,
666,7.36932373,1.233820496,764.65
667,7.329345703,1.206705933,
668,7.269348145,1.228009872,763.15
669,7.209350586,1.247911224,
670,7.159362793,1.232564011,757.15
671,7.069396973,1.263019333,
672,7.01940918,1.245974579,753.65
673,7.059387207,1.221602325,
674,7.049377441,1.226434021,748.65
675,7.01940918,1.246275101,
676,6.899475098,1.224435959,746.65
677,6.889465332,1.234803009,
678,6.869445801,1.214257965,742.15
679,6.829467773,1.200495758,
680,6.809448242,1.216632996,738.65
681,6.789428711,1.202228241,
682,6.759460449,1.210776138,735.65
683,6.699523926,1.179770508,
684,6.68951416,1.193415451,733.15
685,6.529602051,1.171199112,
686,6.549499512,1.184997711,733.15
687,6.559509277,1.187652969,
688,6.489562988,1.176121826,730.15
689,6.459594727,1.184777069,
690,6.439575195,1.199994507,727.65
691,6.399597168,1.18213356,
692,6.389587402,1.188408432,726.15
693,6.249633789,1.160242233,
694,6.26965332,1.196453934,725.15
695,6.289611816,1.191314163,
696,6.229614258,1.195978546,724.15
697,6.149658203,1.172327576,
698,6.169616699,1.169988403,720.65
699,6.139648438,1.144084015,
700,6.09967041,1.145638046,715.15
701,6.109619141,1.132117767,
702,6.029724121,1.117298279,711.65
703,6.00970459,1.132047806,
704,5.999694824,1.145351944,709.65
705,5.949707031,1.126592865,
706,5.939697266,1.116718445,707.65
707,5.849731445,1.121318512,
708,5.839782715,1.115840073,707.15
709,5.789733887,1.119276276,
710,5.789733887,1.11027092,707.15
711,5.749755859,1.11828392,
712,5.749755859,1.104043732,704.65
713,5.739746094,1.092577133,
714,5.699768066,1.088237762,704.65
715,5.609802246,1.086621094,
716,5.59979248,1.10230629,702.65
717,5.529846191,1.087260895,
718,5.519836426,1.091983566,703.65
719,5.50982666,1.071636429,
720,5.429870605,1.075799942,701.65
721,5.399902344,1.078473511,
722,5.369873047,1.085056686,701.15
723,5.389892578,1.07800354,
724,5.369873047,1.082458649,699.15
725,5.269897461,1.071038055,
726,5.249938965,1.04989769,699.15
727,5.249938965,1.053016052,
728,5.199951172,1.071739731,700.15
729,5.189941406,1.058617401,
730,5.159912109,1.037892685,700.15
731,5.169921875,1.037750168,
732,5.139953613,1.030777817,697.65
733,5.109924316,1.034303665,
734,5.059936523,1.041162643,695.15
735,5.020019531,1.027187042,
736,5.010009766,1.003455429,694.15
737,4.979980469,1.014969101,
738,4.960021973,1.01685524,690.65
739,4.929992676,1.010089874,
740,4.929992676,1.014403839,689.15
741,4.869995117,1.020048752,
742,4.849975586,1.002774887,687.65
743,4.820068359,1.009595032,
744,4.780090332,1.025806198,684.65
745,4.74005127,1.008395691,
746,4.680053711,1.025690613,682.15
747,4.620117188,1.005029907,
748,4.620117188,1.016934204,682.65
749,4.570129395,0.978431625,
750,4.600097656,0.996519928,684.15
751,4.600097656,1.005606461,
752,4.520141602,1.005457458,684.15
753,4.430114746,0.986731491,
754,4.430114746,0.984020233,681.15
755,4.460144043,0.994293213,
756,4.390197754,0.985811462,678.65
757,4.380187988,0.992931137,
758,4.350158691,0.957217865,678.15
759,4.360168457,0.953345108,
760,4.330200195,0.951484451,675.65
761,4.290161133,0.947514877,
762,4.290161133,0.961295471,673.65
763,4.290161133,0.950951691,
764,4.210205078,0.94228096,671.15
765,4.200256348,0.943363648,
766,4.160217285,0.934256134,671.65
767,4.130249023,0.927294312,
768,4.100219727,0.935408859,671.15
769,4.090270996,0.937300263,
770,4.070251465,0.933944931,671.65
771,4.040222168,0.945832214,
772,3.99029541,0.931229935,670.15
773,3.960327148,0.949889755,
774,3.960327148,0.920470047,668.65
775,3.950317383,0.916334381,
776,3.91027832,0.907939835,666.15
777,3.870300293,0.913100205,
778,3.830322266,0.902626953,664.15
779,3.810302734,0.89050087,
780,3.700378418,0.887310944,663.15
781,3.73034668,0.90195015,
782,3.750366211,0.914521561,660.15
783,3.670349121,0.871675263,
784,3.600341797,0.883858109,659.65
785,3.640380859,0.87075882,
786,3.640380859,0.867929382,659.15
787,3.560424805,0.874848709,
788,3.590393066,0.861682587,656.65
789,3.57043457,0.848874054,
790,3.540405273,0.850990143,654.65
791,3.550415039,0.856907883,
792,3.510437012,0.852035523,654.15
793,3.49041748,0.853007813,
794,3.500427246,0.866320038,654.65
795,3.450439453,0.849745026,
796,3.410400391,0.854440613,653.65
797,3.380432129,0.849281158,
798,3.360473633,0.842317734,652.65
799,3.370422363,0.836705399,
800,3.320495605,0.824300461,652.15
801,3.290466309,0.821396866,
802,3.280517578,0.823125153,650.65
803,3.240478516,0.810522308,
804,3.240478516,0.808218689,650.15
805,3.220458984,0.802106857,
806,3.170471191,0.790363083,649.15
807,3.15057373,0.802088547,
808,3.100524902,0.784112701,649.15
809,3.090576172,0.788549805,
810,3.100524902,0.792518845,647.65
811,3.060546875,0.776123047,
812,3.020568848,0.766158981,647.15
813,3.050537109,0.770105057,
814,2.990539551,0.763353729,646.15
815,3.010559082,0.759859543,
816,3.010559082,0.745855484,646.15
817,2.960571289,0.734465103,
818,2.960571289,0.729997635,646.15
819,2.940612793,0.713975601,
820,2.900634766,0.726006012,646.65
821,2.930603027,0.713830643,
822,2.870605469,0.715397034,646.15
823,2.880615234,0.708950806,
824,2.870605469,0.706749954,646.15
825,2.860595703,0.709302673,
826,2.830627441,0.692500305,646.15
827,2.800598145,0.694431992,
828,2.710693359,0.696976166,646.65
829,2.770629883,0.666969986,
830,2.740600586,0.684089813,645.65
831,2.750610352,0.664584656,
832,2.700683594,0.663171158,644.65
833,2.710693359,0.661196671,
834,2.670654297,0.659715042,643.65
