Time [s],Mass [g],Back Surface Temperature [K],Top Surface Temperature [K]
896,4.041697424,494.1072595,
897,4.01294459,494.0515445,
898,3.982058666,494.0783304,
899,3.991076625,494.0997195,
900,3.990522883,493.966509,
901,4.006489104,493.7442317,
902,4.042591769,493.9421625,
903,4.015265368,494.0302463,
904,3.999892708,494.0221887,
905,4.017897705,494.1765228,
906,4.041210589,494.1852415,
907,4.003966486,494.2236682,
908,3.987513955,494.2460313,
909,3.984328603,494.1838202,
910,3.96116177,494.3386221,
911,3.966048529,494.1765686,
912,3.992430462,494.0856822,
913,3.996005369,493.9910582,
914,3.980317455,494.2596144,
915,3.970581156,494.4236074,
916,3.979787761,494.0466774,
917,3.973206726,494.4096901,
918,3.987018902,494.3738011,
919,3.996656623,494.3281474,
920,3.982893453,494.5153038,
921,3.992473212,494.3418194,
922,4.001564134,494.5507527,
923,3.985213213,494.4725941,
