Time,T_back
[s],[K]
339.0,609.0
339.5,609.4
340.0,609.8
340.5,610.1
341.0,610.5
341.5,610.8
342.0,611.2
342.5,611.6
343.0,611.9
343.5,612.3
344.0,612.6
344.5,613.0
345.0,613.4
345.5,613.7
346.0,614.1
346.5,614.4
347.0,614.8
347.5,615.2
348.0,615.5
348.5,615.9
349.0,616.3
349.5,616.6
350.0,617.0
350.5,617.4
351.0,617.7
351.5,618.1
352.0,618.5
352.5,618.8
353.0,619.2
353.5,619.6
354.0,619.9
354.5,620.3
355.0,620.7
355.5,621.1
356.0,621.4
356.5,621.8
357.0,622.2
357.5,622.6
358.0,622.9
358.5,623.3
359.0,623.7
359.5,624.1
360.0,624.5
360.5,624.9
361.0,625.3
361.5,625.7
362.0,626.1
362.5,626.5
363.0,626.9
363.5,627.3
364.0,627.7
364.5,628.1
365.0,628.5
365.5,628.9
366.0,629.3
366.5,629.7
367.0,630.1
367.5,630.5
368.0,631.0
368.5,631.4
369.0,631.8
369.5,632.2
370.0,632.7
370.5,633.1
371.0,633.6
371.5,634.0
372.0,634.4
372.5,634.9
373.0,635.3
373.5,635.8
374.0,636.3
374.5,636.7
375.0,637.2
375.5,637.7
376.0,638.1
376.5,638.6
377.0,639.1
377.5,639.6
378.0,640.1
378.5,640.6
379.0,641.1
379.5,641.6
380.0,642.1
380.5,642.6
381.0,643.2
381.5,643.7
382.0,644.2
382.5,644.8
383.0,645.3
383.5,645.9
384.0,646.4
384.5,647.0
385.0,647.6
385.5,648.1
386.0,648.7
386.5,649.3
387.0,649.9
387.5,650.5
388.0,651.1
388.5,651.8
389.0,652.4
389.5,653.0
390.0,653.7
390.5,654.3
391.0,655.0
391.5,655.7
392.0,656.4
392.5,657.1
393.0,657.8
393.5,658.5
394.0,659.3
394.5,660.0
395.0,660.8
395.5,661.6
396.0,662.4
396.5,663.2
397.0,664.0
397.5,664.8
398.0,665.7
398.5,666.6
399.0,667.5
399.5,668.4
400.0,669.3
400.5,670.3
401.0,671.3
401.5,672.3
402.0,673.3
402.5,674.4
403.0,675.5
403.5,676.6
404.0,677.8
404.5,679.0
405.0,680.3
405.5,681.6
406.0,682.9
406.5,684.3
407.0,685.8
407.5,687.3
408.0,688.9
408.5,690.6
409.0,692.3
409.5,694.2
410.0,696.2
410.5,698.3
411.0,700.6
411.5,703.0
412.0,705.7
412.5,708.7
413.0,712.0
413.5,715.8
414.0,720.2
414.5,725.4
415.0,731.8
415.5,740.4
416.0,752.5
416.5,774.8
417.0,756.2
417.5,776.0
418.0,789.1
418.5,798.7
419.0,806.2
419.5,812.2
420.0,817.2
420.5,821.5
421.0,825.2
421.5,828.4
422.0,831.3
422.5,833.9
423.0,836.3
423.5,838.4
424.0,840.4
424.5,842.2
425.0,843.8
425.5,845.4
426.0,846.8
426.5,848.2
427.0,849.5
427.5,850.7
428.0,851.8
428.5,852.9
429.0,853.9
429.5,854.8
430.0,855.8
430.5,856.6
431.0,857.5
431.5,858.3
432.0,859.0
432.5,859.7
433.0,860.4
433.5,861.1
434.0,861.8
434.5,862.4
435.0,863.0
435.5,863.6
436.0,864.1
436.5,864.7
437.0,865.2
437.5,865.7
438.0,866.2
438.5,866.7
439.0,867.1
439.5,867.6
440.0,868.0
440.5,868.4
441.0,868.9
441.5,869.3
442.0,869.7
442.5,870.0
443.0,870.4
443.5,870.8
444.0,871.1
444.5,871.5
445.0,871.8
445.5,872.2
446.0,872.5
446.5,872.8
447.0,873.1
447.5,873.4
448.0,873.7
448.5,874.0
449.0,874.3
449.5,874.6
450.0,874.8
450.5,875.1
451.0,875.4
451.5,875.6
452.0,875.9
452.5,876.1
453.0,876.4
453.5,876.6
454.0,876.9
454.5,877.1
455.0,877.3
455.5,877.6
456.0,877.8
456.5,878.0
457.0,878.2
457.5,878.4
458.0,878.6
458.5,878.8
459.0,879.0
459.5,879.2
460.0,879.4
460.5,879.6
461.0,879.8
461.5,880.0
462.0,880.2
462.5,880.3
463.0,880.5
463.5,880.7
464.0,880.9
464.5,881.0
465.0,881.2
465.5,881.4
466.0,881.5
466.5,881.7
467.0,881.9
467.5,882.0
468.0,882.2
468.5,882.3
469.0,882.5
469.5,882.6
470.0,882.8
470.5,882.9
471.0,883.1
471.5,883.2
472.0,883.3
472.5,883.5
473.0,883.6
473.5,883.8
474.0,883.9
474.5,884.0
475.0,884.2
475.5,884.3
476.0,884.4
476.5,884.5
477.0,884.7
477.5,884.8
478.0,884.9
478.5,885.0
479.0,885.2
479.5,885.3
480.0,885.4
480.5,885.5
481.0,885.6
481.5,885.7
482.0,885.9
482.5,886.0
483.0,886.1
483.5,886.2
484.0,886.3
484.5,886.4
485.0,886.5
485.5,886.6
486.0,886.7
486.5,886.8
487.0,886.9
487.5,887.0
488.0,887.1
488.5,887.2
489.0,887.3
489.5,887.4
490.0,887.5
490.5,887.6
491.0,887.7
491.5,887.8
492.0,887.9
492.5,888.0
493.0,888.1
493.5,888.2
494.0,888.3
494.5,888.4
495.0,888.5
495.5,888.6
496.0,888.6
496.5,888.7
497.0,888.8
497.5,888.9
498.0,889.0
498.5,889.1
499.0,889.1
499.5,889.2
500.0,889.3
