Time(s),Temperature (K),Mass (mg)
1914.9498,313.051,4.760999747
1915.2498,313.056,4.760999747
1915.5498,313.07,4.760999747
1915.8498,313.051,4.760999747
1916.1498,313.057,4.760999747
1916.4498,313.047,4.760999747
1916.7498,313.067,4.760999747
1917.0498,313.059,4.760999747
1917.3498,313.051,4.760999747
1917.6498,313.055,4.760999747
1917.9498,313.067,4.760999747
1918.2498,313.068,4.760999747
1918.5498,313.058,4.760999747
1918.8498,313.067,4.760999747
1919.1498,313.072,4.760999747
1919.4498,313.064,4.760999747
1919.7498,313.094,4.760999747
1920.0498,313.078,4.760999747
1920.3498,313.081,4.760999747
1920.6498,313.08,4.760999747
1920.9498,313.078,4.760999747
1921.2498,313.065,4.760999747
1921.5498,313.075,4.760999747
1921.8498,313.086,4.760999747
1922.1498,313.088,4.760999747
1922.4498,313.072,4.760999747
1922.7498,313.09,4.760999747
1923.0498,313.087,4.760999747
1923.3498,313.091,4.760999747
1923.6498,313.107,4.760999747
1923.9498,313.094,4.760999747
1924.2498,313.106,4.760999747
1924.5498,313.11,4.760999747
1924.8498,313.095,4.760999747
1925.1498,313.114,4.760999747
1925.4498,313.119,4.760999747
1925.7498,313.129,4.760999747
1926.0498,313.11,4.760999747
1926.3498,313.118,4.760999747
1926.6498,313.119,4.760999747
1926.9498,313.122,4.760999747
1927.2498,313.126,4.760999747
1927.5498,313.12,4.760999747
1927.8498,313.132,4.760999747
1928.1498,313.139,4.761099803
1928.4498,313.149,4.760999747
1928.7498,313.128,4.761099803
1929.0498,313.139,4.761099803
1929.3498,313.137,4.761099803
1929.6498,313.141,4.760999747
1929.9498,313.149,4.761099803
1930.2498,313.148,4.761099803
1930.5498,313.151,4.761099803
1930.8498,313.152,4.760999747
1931.1498,313.164,4.760999747
1931.4498,313.157,4.761099803
1931.7498,313.173,4.760999747
1932.0498,313.163,4.761099803
1932.3498,313.161,4.761099803
1932.6498,313.187,4.760999747
1932.9498,313.163,4.760999747
1933.2498,313.182,4.761099803
1933.5498,313.17,4.761099803
1933.8498,313.177,4.761099803
1934.1498,313.178,4.761099803
1934.4498,313.165,4.761199859
1934.7498,313.191,4.761299916
1935.0498,313.18,4.761399972
1935.3498,313.193,4.761600085
1935.6498,313.2,4.761600085
1935.9498,313.209,4.761600085
1936.2498,313.21,4.761500028
1936.5498,313.212,4.761500028
1936.8498,313.197,4.761500028
1937.1498,313.207,4.761500028
1937.4498,313.222,4.761399972
1937.7498,313.222,4.761399972
1938.0498,313.225,4.761399972
