Time,Mass,HRR,Back Surface Temperature
[s],[g],[kW/m2],[K]
560,-0.00911,-0.18188269,719.85
561,-0.013086,-0.412092882,718.364
562,-0.012385,-0.77004202,717.95
563,-0.004832,-0.914063269,717.433
564,-0.000519,-1.403150372,716.704
565,-0.006361,-1.603511084,716.477
566,-0.011536,-1.39893748,716.629
567,-0.004034,-1.918335214,716.762
568,-0.014591,-3.157897384,716.909
569,-0.005775,-3.812359114,717.037
570,0.018082,-3.779257815,716.602
571,0.01739,-3.702547612,715.689
572,0.013953,-3.47019989,715.22
573,0.018251,-3.332784554,714.496
574,0.009623,-2.195829053,713.44
575,-0.012175,-0.537951845,713.092
576,-0.006178,0.02982264,712.434
577,0.021808,-0.197964057,712.022
578,0.013625,-0.688916352,712.271
579,-0.002367,-0.927473663,712.124
580,-0.001042,-1.058283213,711.628
581,0.002633,-1.204566721,711.294
582,0.00595,-1.208128615,710.441
583,0.007663,-1.108423636,709.38
584,0.01,-0.76206695,708.431
585,0.003033,-0.518167967,707.805
586,0.014294,-0.320264486,707.198
587,0.01369,-0.481833059,706.328
588,-0.011537,0.270336805,706.099
589,-0.019,1.243403244,706.103
590,-0.018479,1.183189013,705.898
591,-0.01277,1.312048971,705.705
592,0.001062,1.480085343,706.128
593,0.004732,1.739254581,706.714
594,-0.000608,2.132316191,706.903
595,-0.003609,2.333740718,707.075
596,-0.015621,2.14313463,707.874
597,-0.02926,1.709202777,708.448
598,-0.020182,1.460684066,707.627
599,-0.021663,1.297279225,706.556
600,-0.033,1.166049738,705.934
601,-0.019167,1.194676977,705.654
602,-0.012687,0.152440872,705.793
603,-0.040109,-0.596761615,704.987
604,-0.036115,-0.503853425,704.162
605,-0.019589,-0.272331499,703.778
606,-0.031621,-0.325247214,703.326
607,-0.044198,-0.828287608,703.228
608,-0.030964,-0.995216226,703.639
609,-0.042325,-1.113038892,703.701
610,-0.063434,-1.218403485,703.436
611,-0.050482,-1.210036292,703.373
